id,last_name,first_name,bio,
203,Picker,Randal,http://www.chicagobooth.edu/faculty/directory/p/randal-c-picker,
204,Olopade,Olufunmilayo,http://www.chicagobooth.edu/faculty/directory/o/olufunmilayo-i-olopade,
205,Grossman,Caroline,http://www.chicagobooth.edu/faculty/directory/g/caroline-grossman,
206,Fitzgerald,Kathleen,http://www.chicagobooth.edu/faculty/directory/f/kathleen-fitzgerald,
207,Bonham,Jonathan,http://www.chicagobooth.edu/faculty/directory/b/jonathan-bonham,
208,Tennant,Nancy,http://www.chicagobooth.edu/faculty/directory/t/nancy-tennant,
209,Murphy,Kevin,http://www.chicagobooth.edu/faculty/directory/m/kevin-m-murphy,
210,Topel,Robert,http://www.chicagobooth.edu/faculty/directory/t/robert-h-topel,
211,Leshno,Jacob,http://www.chicagobooth.edu/faculty/directory/l/jacob-leshno,
212,Kamenica,Emir,http://www.chicagobooth.edu/faculty/directory/k/emir-kamenica,
213,Sarsons,Heather,http://www.chicagobooth.edu/faculty/directory/s/heather-sarsons,
214,Kekre,Rohan,http://www.chicagobooth.edu/faculty/directory/k/rohan-kekre,
215,Rosner,Robert,0,
216,Parrish,Priya,http://www.chicagobooth.edu/faculty/directory/p/priya-parrish,
217,Agnew,Mark,http://www.chicagobooth.edu/faculty/directory/a/mark-agnew,
218,Schrankler,Jay,http://www.chicagobooth.edu/faculty/directory/s/jay-schrankler,
219,Heltzer,Jason,http://www.chicagobooth.edu/faculty/directory/h/jason-m-heltzer,
220,Crandell,Keith,http://www.chicagobooth.edu/faculty/directory/c/keith-crandell,
221,Heaton,John,http://www.chicagobooth.edu/faculty/directory/h/john-c-heaton,
222,Nagel,Stefan,http://www.chicagobooth.edu/faculty/directory/n/stefan-nagel,
223,He,Zhiguo,http://www.chicagobooth.edu/faculty/directory/h/zhiguo-he,
224,Pierce,Joshua,http://www.chicagobooth.edu/faculty/directory/p/joshua-pierce,
225,Colonnelli,Emanuele,http://www.chicagobooth.edu/faculty/directory/c/emanuele-colonnelli,
226,Sufi,Amir,http://www.chicagobooth.edu/faculty/directory/s/amir-sufi,
227,Zhang,Anthony,http://www.chicagobooth.edu/faculty/directory/z/anthony-zhang,
228,Noel,Pascal,http://www.chicagobooth.edu/faculty/directory/n/pascal-noel,
229,Koijen,Ralph,http://www.chicagobooth.edu/faculty/directory/k/ralph-s-j-koijen,
230,Candogan,Ozan,http://www.chicagobooth.edu/faculty/directory/c/ozan-candogan,
231,Urminsky,Oleg,http://www.chicagobooth.edu/faculty/directory/u/oleg-urminsky,
232,Strulov-Shlain,Avner,http://www.chicagobooth.edu/faculty/directory/s/avner-strulov-shlain,
233,Compiani,Giovanni,http://www.chicagobooth.edu/faculty/directory/c/giovanni-compiani,
234,Hitsch,Guenter,http://www.chicagobooth.edu/faculty/directory/h/guenter-j-hitsch,
235,Misra,Sanjog,http://www.chicagobooth.edu/faculty/directory/m/sanjog-misra,
236,Wittenbrink,Bernd,http://www.chicagobooth.edu/faculty/directory/w/bernd-wittenbrink,
237,Chaudhry,Shereen,http://www.chicagobooth.edu/faculty/directory/c/shereen-chaudhry,
238,Wu,George,http://www.chicagobooth.edu/faculty/directory/w/george-wu,
239,Dean,Joshua,http://www.chicagobooth.edu/faculty/directory/d/joshua-dean,
240,Koch,Alex,http://www.chicagobooth.edu/faculty/directory/k/alex-koch,
241,Kaji,Tetsuya,http://www.chicagobooth.edu/faculty/directory/k/tetsuya-kaji,
242,Smetanina,Ekaterina,http://www.chicagobooth.edu/faculty/directory/s/ekaterina-katja-smetanina,(Katja)
243,Olopade,Christopher,http://www.chicagobooth.edu/faculty/directory/o/christopher-sola-olopade,
244,McGowan,Christopher,http://www.chicagobooth.edu/faculty/directory/m/christopher-mcgowan,
245,Gottlieb,Joshua,0,
246,Zwick,Eric,http://www.chicagobooth.edu/faculty/directory/z/eric-zwick,
